,特産物(http://rinooto2016.org/#hokkaido),温泉の数_2015(https://www.kankokeizai.com/image/2017pdf/20170408_06.pdf),美人が多いと思う投票数(https://twitfukuoka.com/?p=32041)切り上げ,美男子がおおいと思う投票数(https://twitfukuoka.com/?p=32041)切り上げ,Jリーガーの数,男余り率(https://note.mu/wildriverpeace/n/nba3283730f78),睡眠時間,"スマホ・パソコン大好き(1日６時間以上使用
した人の割合)",メディアに夢中(時間/分),旅行好き(行動者率),ボーリングが人気(行動者数),読書が人気(行動者数),山登りが人気(行動者数),釣り人が多い(行動者数),長く働く(時間),ボランティア熱心(行動者数)
北海道,サッポロ味噌ラーメン、夕張メロン、スープカレー、白い恋人、かに鮨、いかめし、毛ガニ、タラバガニ、ジンギスカン、生キャラメル、十勝ワイン、ししゃも、干したこ,245,40,30,37,8.5,7.51,10.5,2.38,69.1,11.7,37.8,5.5,8.6,6.06,22.6
青森県,津軽リンゴ、大間のマグロ、ホタテ、干しイカ,133,20,20,5,12.8,7.59,10.4,2.31,59.4,9.3,29.7,5.1,8.9,6.18,22.4
岩手県,かもめの玉子、わんこそば、盛岡冷麺、三食せんべい,79,20,10,8,12.9,7.54,8.5,2.11,65.7,8.8,33.9,6.7,9.3,6.2,30.2
秋田県,きりたんぽ、しょっつる、横手焼きそば、比内地鶏、稲庭うどん,82,100,10,4,13.3,8.02,8.5,2.24,68.5,7.3,31.5,6.7,7.5,6.01,27.2
山形県,いも煮、山形そば、米沢牛、さくらんぼ、ラフランス,88,20,10,6,16.6,7.56,8.2,2.21,72.5,10.9,32.1,7.8,10.8,6.08,32.1
宮城県,牛タン、笹かまぼこ、萩の月、なまどら,132,10,20,14,9.8,7.46,9.7,2.11,74.1,11.1,39.4,7,8.9,6,26.7
福島県,喜多方ラーメン、ずわいがに、桃、こんにゃく,52,10,10,3,14.6,7.5,8.6,2.23,70.3,10.7,33.9,9.2,6.5,6.22,28.1
東京都,雷おこし、東京ばな奈、ごまたまご、もんじゃ焼き,26,30,90,151,6.8,7.35,10.2,1.55,78.5,13,49.6,15,6.9,5.39,21.6
神奈川県,かまぼこ、鳩サブレ、崎陽軒、中華まん、よこすか焼き,33,20,60,138,13,7.33,9.3,2.03,78,12.8,43.9,14,6.9,5.55,25.5
埼玉県,草加せんべい、五家宝、十万石饅頭,27,10,20,107,13.4,7.31,9.1,2.15,77.9,12.2,41.7,12.9,6.8,5.43,24.2
千葉県,白菜、落花生、ぴーなっつ、はまぐり,94,10,20,97,14.4,7.32,10.2,2.08,77.4,13.4,42.4,11.5,8.3,5.48,25.2
茨城県,梅どら、水戸納豆、くり,33,10,20,35,17.6,7.37,8.9,2.2,73.4,11.5,35.7,10.1,8.5,5.5,26.2
栃木県,かんぴょう、ぎょうざ、いちご（とちおとめ）、もなか,68,10,10,18,16.2,7.42,8,2.14,72.4,12.7,35.2,10.7,7.5,5.55,26.2
群馬県,下仁田ねぎ、磯部せんべい、焼きまんじゅう,27,10,10,28,16.7,7.42,8.2,2.14,75,10.6,35.1,11.5,8.2,6.09,28.3
新潟県,こしひかり、笹だんご、へぎそば,153,40,20,14,15.6,7.48,7.7,2.24,72.7,11.3,33.1,9.4,8.6,6.11,24.5
長野県,信州そば、青りんご、野沢菜、栗ようかん,224,10,10,6,13.5,7.47,6.5,2.11,73.5,11.9,36.4,10.7,6.8,6.08,32.3
山梨県,ぶどう、勝沼ワイン、ほうとう,28,10,10,11,14.6,7.44,6.8,2.12,74.2,10.4,34.3,9.9,7.5,5.54,29.7
石川県,甘えび、あんころ、かぶら寿司、寒ブリ,18,20,10,3,13.6,7.42,8.8,2.12,73.9,15,35.4,7.3,9.9,6.06,31.6
富山県,白エビ、ぶり、ホタルイカ,69,10,10,9,15.3,7.44,6.7,2.16,76.1,14.4,37,10.8,9.2,6.07,32.4
福井県,越前ガニ、水ようかん、花らっきょ、干し柿,38,20,10,0,14.5,7.47,7.4,2.02,73.6,11.3,33.1,9.2,8.7,6.08,32.2
愛知県,ういろう、味噌かつ、名古屋コーチン、手羽先、小倉トースト,34,20,20,39,15.3,7.35,9.6,2.12,78.5,16.4,38.7,8.8,9,5.57,24.6
静岡県,うなぎパイ、お茶、わさび、富士宮やきそば、麦とろ,117,20,20,78,16,7.38,8.3,2.21,73.5,11.6,36.5,8.4,8.4,5.56,29.4
岐阜県,富有下記、栗きんとん、明宝ハム,62,10,10,14,11.6,7.41,8.6,2.19,75,12.7,32.4,10.5,8.8,5.59,33.4
三重県,赤福、伊勢海老、松坂牛,68,10,10,21,13.1,7.4,9.8,2.2,75.2,13.7,33.8,7.7,9,5.48,29
大阪府,お好み焼き（関西風）、たこ焼き、堂島ロール,23,10,20,103,5.9,7.36,10.6,2.24,71.4,13.2,40.1,11.8,8.8,5.52,20.6
京都府,湯葉、生八つ橋、千枚漬け、ちりめん山椒、そばぼうろ,39,20,30,24,10.2,7.4,10.1,2.08,73.1,13.8,40.6,11,8.4,5.42,24.6
奈良県,奈良漬け、さつま焼き,30,10,10,14,4.2,7.35,8.1,2.12,75.6,11.8,40.4,13.2,8.4,5.53,26.8
滋賀県,江州だんご、うばがもち、鮒ずし、近江牛,23,10,10,26,14.3,7.43,9.7,2.02,77.6,15.9,37,9.6,10.2,5.58,33.9
和歌山県,みかん、はっさく、和歌山ラーメン、じゃばら,51,10,10,6,8,7.46,9.7,2.24,67.4,9.5,29.5,4.9,11.3,5.51,24.2
兵庫県,バウムクーヘン、神戸牛、明石焼き、神戸プリン、赤穂の塩,80,20,30,56,7,7.35,9.4,2.14,73.9,12.3,38,12.2,10.4,5.57,26
広島県,もみじまんじゅう、お好み焼き（広島風）、尾道らーめん、牡蠣,65,10,20,40,11.4,7.42,8.1,2.24,70.1,12.5,35.9,6.8,11.7,5.48,25.6
岡山県,白桃、ピオーネ、きびだんご、ひるぜん焼きそば、白魚,37,10,20,15,8.6,7.4,8,2.1,73.3,12.7,37.8,7,10.1,6.01,30.8
鳥取県,２０世紀梨、松葉がに、らっきょう、ちくわ,15,10,0,2,11.5,7.45,8.7,2.34,68.7,10.7,33.9,7.5,10,6.07,32.2
島根県,出雲そば、しじみ、若草、いちじく、カブ,43,10,10,7,13,7.53,6.7,2.13,67.6,11,33.3,6,11.8,5.45,33.1
山口県,ふぐ、夏みかん、ウニ,51,10,20,13,11.5,7.4,8.6,2.37,68.7,11.6,34.5,6.6,11.6,5.42,27.8
香川県,讃岐うどん、えびせん、オリーブ,27,10,10,6,13.2,7.41,8.3,2.29,67.5,10.4,33.9,6.9,9.6,6.05,28.2
愛媛県,愛媛みかん、いよかん、坊ちゃん団子,38,10,10,13,8.6,7.41,8.8,2.27,67.8,9.9,32.9,4.9,9.6,5.52,27.5
高知県,ポンカン、かつおのたたき、かつお節,32,10,10,1,7.7,7.52,7.3,2.32,60.8,9.5,30.8,4.6,11.5,5.51,22.6
徳島県,すだち、金長饅頭、徳島ラーメン,32,10,10,6,8.4,7.43,8,2.28,66.8,11.4,33.5,5.8,9.8,5.58,26.2
福岡県,博多ラーメン、辛子明太子、ひよ子サブレ、水炊き,54,100,90,46,3.3,7.39,9.8,2.23,73.6,14.7,36,7.6,8.2,6.07,28.1
大分県,かぼす、あじ,24,10,20,21,10.5,7.45,8.2,2.29,70.1,12.9,32.4,5.7,11.1,6.01,29.8
長崎県,長崎ちゃんぽん、カステラ、皿うどん、びわ,31,20,40,19,6.1,7.38,8.5,2.3,62.2,10.9,31.5,5.4,12.8,6.03,27.7
佐賀県,白玉饅頭、丸ぼうろ、ゆずこしょう,24,10,20,6,10.4,7.45,8.6,2.22,68.5,11.8,31.3,4.5,10.7,6.14,32.6
熊本県,からしレンコン、デコポン,54,20,20,35,6.4,7.44,7.2,2.23,66.6,12.7,31.7,5.6,12,6.26,32.7
宮崎県,日向夏、キンカン、地鶏,32,10,10,9,4.1,7.53,9.8,2.32,65.9,11.4,30.7,5.1,10.8,5.55,29.1
鹿児島県,さつまあげ、黒豚、桜島大根,100,10,30,39,1.4,7.48,7,2.19,66.8,10.2,30.5,4.6,11.4,5.55,32.6
沖縄県,ゴーヤ、シークワーサー、泡盛、マンゴー、ソーキそば、ちんすこう、オリオンビール、海ぶどう,8,40,50,15,9.5,7.41,6.6,2.2,52.4,19.6,33,2.7,11.1,6.13,25.1